,Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date,Runtime,Color Palette,GenreNames,LanguageName,Month
95,2025-01-22,Mulholland Drive,2001.0,https://boxd.it/8zfPBB,5.0,"scropps, alone</3",2025-01-21,147,"[122, 117, 102, 10, 0, 1, 0, 0, 0]","['Thriller', 'Drama', 'Mystery']",English,2025-01
96,2025-01-25,Eraserhead,1977.0,https://boxd.it/8BxVQh,4.0,"scropps, tay",2025-01-24,89,"[225, 225, 223, 105, 105, 104, 9, 8, 8]","['Science Fiction', 'Horror']",English,2025-01
97,2025-01-26,Sonic the Hedgehog 3,2024.0,https://boxd.it/8CkS9n,3.0,"scropps, in theaters, tay, ali",2025-01-25,110,"[218, 204, 195, 129, 116, 140, 50, 32, 58]","['Action', 'Science Fiction', 'Comedy', 'Family']",English,2025-01
98,2025-01-29,Secretary,2002.0,https://boxd.it/8EP0Dj,4.0,"scropps, alone</3",2025-01-28,111,"[255, 255, 255, 255, 255, 252, 120, 78, 59]","['Romance', 'Drama', 'Comedy']",English,2025-01
99,2025-01-30,King Knight,2021.0,https://boxd.it/8FAqV3,3.0,"scropps, audrey",2025-01-30,78,"[227, 227, 230, 105, 107, 141, 39, 13, 72]",['Comedy'],English,2025-01
100,2025-01-31,Bottoms,2023.0,https://boxd.it/8G9U8Z,4.5,"scropps, tay",2025-01-30,91,"[245, 245, 245, 237, 239, 238, 129, 108, 104]",['Comedy'],English,2025-01
101,2025-02-02,Companion,2025.0,https://boxd.it/8HIE5z,4.0,"scropps, in theaters, paris, tay, daisy, grace",2025-02-01,97,"[180, 137, 117, 132, 82, 64, 67, 37, 24]","['Horror', 'Science Fiction', 'Thriller']",English,2025-02
102,2025-02-08,But I'm a Cheerleader,1999.0,https://boxd.it/8LBTFT,5.0,"scropps, tay",2025-02-07,85,"[159, 211, 203, 11, 198, 190, 162, 95, 104]","['Comedy', 'Romance']",English,2025-02
103,2025-02-09,The Lobster,2015.0,https://boxd.it/8Mqs3P,2.0,"scropps, tay",2025-02-08,119,"[243, 241, 231, 239, 237, 225, 117, 116, 110]","['Comedy', 'Drama', 'Romance']",English,2025-02
104,2025-02-14,They/Them,2022.0,https://boxd.it/8PtBFB,1.0,"scropps, tay, hate watch",2025-02-13,104,"[130, 138, 148, 44, 58, 76, 23, 24, 38]","['Horror', 'Mystery']",English,2025-02
105,2025-02-15,The Love Witch,2016.0,https://boxd.it/8Q4kJP,4.0,"scropps, tay",2025-02-14,121,"[182, 146, 116, 119, 57, 48, 40, 30, 26]","['Horror', 'Comedy', 'Romance']",English,2025-02
